DATE,TOTAL AMOUNT
2023-03-03,1771.8
2023-03-04,962.0
2023-03-05,723.7
2023-03-06,1014.8
2023-03-07,1570.6
2023-03-08,1012.5
2023-03-09,1672.1
2023-03-10,1369.0
2023-03-11,851.5
2023-03-12,1111.0
2023-03-13,761.5
2023-03-14,1066.0
2023-03-15,1103.5
2023-03-16,768.5
2023-03-17,1262.0
2023-03-18,1437.0
2023-03-19,1203.5
2023-03-20,989.5
2023-03-21,1168.5
2023-03-22,815.0
2023-03-23,927.5
2023-03-24,1143.0
2023-03-25,1557.0
2023-03-26,869.6
2023-03-27,1596.0
2023-03-28,1628.8
2023-03-29,1873.5
2023-03-30,1333.0
2023-03-31,1227.5
2023-04-01,1276.9
2023-04-02,712.5
2023-04-03,2224.0
2023-04-04,764.5
2023-04-05,943.0
2023-04-06,1426.6
2023-04-07,1049.4
2023-04-08,1784.5
2023-04-09,542.5
2023-04-10,876.5
2023-04-11,1148.0
2023-04-12,1355.0
2023-04-13,807.9
2023-04-14,602.4
2023-04-15,1008.7
2023-04-16,1034.0
2023-04-17,1068.5
2023-04-18,850.0
2023-04-19,1606.5
2023-04-20,610.5
2023-04-21,777.6
2023-04-22,1139.1
2023-04-23,987.1
2023-04-24,1538.0
2023-04-25,647.5
2023-04-26,745.0
2023-04-27,1026.5
2023-04-28,1366.5
2023-04-29,853.5
2023-04-30,656.5
2023-05-01,1191.0
2023-05-02,1172.5
2023-05-03,905.9
2023-05-04,1209.3
2023-05-05,698.5
2023-05-06,521.5
2023-05-07,1274.5
2023-05-08,1360.5
2023-05-09,1475.0
2023-05-10,1047.5
2023-05-11,877.0
2023-05-12,860.1
2023-05-13,1776.1
2023-05-14,1000.5
2023-05-15,962.5
2023-05-16,829.0
2023-05-17,725.7
2023-05-18,1280.0
2023-05-19,1496.1
2023-05-20,1010.0
2023-05-21,666.0
2023-05-22,1141.8
2023-05-23,1609.0
2023-05-24,1016.0
2023-05-25,988.0
2023-05-26,1059.0
2023-05-27,2196.5
2023-05-28,1199.0
2023-05-29,2115.6
2023-05-30,1513.0
2023-05-31,1785.0
2023-06-01,1415.0
2023-06-02,1105.0
2023-06-03,1308.0
2023-06-04,1017.5
2023-06-05,1478.0
2023-06-06,1825.0
2023-06-07,571.1
2023-06-08,851.1
2023-06-09,1316.8
2023-06-10,1100.0
2023-06-11,564.0
2023-06-12,1536.5
2023-06-13,794.0
2023-06-14,817.5
2023-06-15,1283.8
2023-06-16,1415.5
2023-06-17,810.0
2023-06-18,791.5
2023-06-19,1292.3
2023-06-20,1401.0
2023-06-21,761.5
2023-06-22,1043.1
2023-06-23,1939.0
2023-06-24,1672.5
2023-06-25,734.5
2023-06-26,1030.0
2023-06-27,893.5
2023-06-28,1757.5
2023-06-29,883.0
2023-06-30,1064.5
2023-07-01,1863.5
2023-07-02,1187.0
2023-07-03,1832.0
2023-07-04,876.5
2023-07-05,1572.0
2023-07-06,830.0
2023-07-07,1363.3
2023-07-08,1473.5
2023-07-09,619.5
2023-07-10,1102.5
2023-07-11,1225.0
2023-07-12,490.5
2023-07-13,1521.8
2023-07-14,2257.5
2023-07-15,1202.0
2023-07-16,742.3
2023-07-17,2203.5
2023-07-18,842.0
2023-07-19,1535.5
2023-07-20,1306.5
2023-07-21,731.5
2023-07-22,1076.0
2023-07-23,1278.0
2023-07-24,1541.4
2023-07-25,1309.0
2023-07-26,1703.9
2023-07-27,1936.0
2023-07-28,1613.0
2023-07-29,2168.6
2023-07-30,1060.0
2023-07-31,1754.5
2023-08-01,2142.8
2023-08-02,1350.0
2023-08-03,2301.0
2023-08-04,3161.5
2023-08-05,1204.5
2023-08-06,1356.0
2023-08-07,1915.0
2023-08-08,1761.6
2023-08-09,992.5
2023-08-10,1407.0
2023-08-11,1275.0
2023-08-12,962.2
2023-08-13,987.0
2023-08-14,1614.0
2023-08-15,1783.0
2023-08-16,1696.5
2023-08-17,3461.5
2023-08-18,2139.5
2023-08-19,681.0
2023-08-20,2496.0
2023-08-21,1080.8
2023-08-22,1385.0
2023-08-23,1354.5
2023-08-24,1494.0
2023-08-25,1039.5
2023-08-26,1380.0
2023-08-27,703.0
2023-08-28,1702.0
2023-08-29,1460.0
2023-08-30,1340.0
2023-08-31,1404.0
2023-09-01,1688.0
2023-09-02,1584.0
2023-09-03,1119.0
2023-09-04,1586.5
2023-09-05,2010.5
2023-09-06,1137.0
2023-09-07,1154.3
2023-09-08,2153.0
2023-09-09,1894.0
2023-09-10,941.3
2023-09-11,1760.0
2023-09-12,1943.5
2023-09-13,1365.1
2023-09-14,1051.5
2023-09-15,1460.5
2023-09-16,1944.0
2023-09-17,1001.0
2023-09-18,1681.0
2023-09-19,2254.0
2023-09-20,1492.0
2023-09-21,1328.0
2023-09-22,1045.0
2023-09-23,2899.8
2023-09-24,1467.0
2023-09-25,2223.0
2023-09-26,2150.0
2023-09-27,2333.2
2023-09-28,1502.0
2023-09-29,2064.5
2023-09-30,1916.0
2023-10-01,965.0
2023-10-02,1520.6
2023-10-03,1221.5
2023-10-04,1408.5
2023-10-05,2201.4
2023-10-06,1532.0
2023-10-07,1743.0
2023-10-08,953.5
2023-10-09,1307.0
2023-10-10,1953.0
2023-10-11,2355.8
2023-10-12,1734.3
2023-10-13,2011.0
2023-10-14,1002.0
2023-10-15,1006.0
2023-10-16,2390.0
2023-10-17,1502.0
2023-10-18,1240.9
2023-10-19,2006.0
2023-10-20,978.0
2023-10-21,2479.6
2023-10-22,1837.0
2023-10-23,883.0
2023-10-24,1795.8
2023-10-25,1371.0
2023-10-26,1066.0
2023-10-27,1034.5
2023-10-28,1214.0
2023-10-29,1240.0
2023-10-30,549.3
2023-10-31,1448.0
2023-11-01,711.0
2023-11-02,1369.1
2023-11-03,1180.5
2023-11-04,2229.3
2023-11-05,1217.0
2023-11-06,1063.9
2023-11-07,2787.5
2023-11-08,946.0
2023-11-09,1042.5
2023-11-10,1412.0
2023-11-11,1458.0
2023-11-12,707.8
2023-11-13,1970.5
2023-11-14,1865.5
2023-11-15,2271.0
2023-11-16,941.5
2023-11-17,1031.0
2023-11-18,1234.0
2023-11-19,823.0
2023-11-20,1145.0
2023-11-21,647.8
2023-11-22,1469.0
2023-11-23,1249.5
2023-11-24,1006.5
2023-11-25,970.5
2023-11-26,813.1
2023-11-27,1183.5
2023-11-28,1055.0
2023-11-29,1002.0
2023-11-30,1486.0
2023-12-01,2051.5
2023-12-02,1253.0
2023-12-03,1130.5
2023-12-04,1167.0
2023-12-05,1349.0
2023-12-06,1863.3
2023-12-07,1621.8
2023-12-08,2313.0
2023-12-09,1287.6
2023-12-10,835.6
2023-12-11,1488.0
2023-12-12,1766.0
2023-12-13,1294.0
2023-12-14,1641.8
2023-12-15,1082.0
2023-12-16,1089.5
2023-12-17,1394.0
2023-12-18,1620.0
2023-12-19,1857.0
2023-12-20,872.4
2023-12-21,1710.0
2023-12-22,1783.0
2023-12-23,1236.0
2023-12-24,1086.0
2023-12-25,1647.8
2023-12-26,1271.0
2023-12-27,2338.0
2023-12-28,1947.6
2023-12-29,992.0
2023-12-30,1350.0
2023-12-31,1451.0
2024-01-01,1353.0
2024-01-02,2090.0
2024-01-03,1793.8
2024-01-04,1037.4
2024-01-05,1748.0
2024-01-06,1898.0
2024-01-07,1400.4
2024-01-08,1422.0
2024-01-09,744.0
2024-01-10,1635.0
2024-01-11,851.5
2024-01-12,1541.0
2024-01-13,1670.0
2024-01-14,508.8
2024-01-15,1104.0
2024-01-16,2008.0
2024-01-17,1343.8
2024-01-18,1450.0
2024-01-19,1904.7
2024-01-20,1767.3
2024-01-21,572.0
2024-01-22,1020.6
2024-01-23,1076.0
2024-01-24,940.0
2024-01-25,912.0
2024-01-26,1033.0
2024-01-27,921.0
2024-01-28,1121.0
2024-01-29,878.5
2024-01-30,1519.0
2024-01-31,1865.8
2024-02-01,1341.0
2024-02-02,968.7
2024-02-03,1726.0
2024-02-04,1053.0
2024-02-05,1577.5
2024-02-06,1318.0
2024-02-07,1785.0
2024-02-08,2066.5
2024-02-09,728.8
2024-02-10,1215.0
2024-02-11,1297.0
2024-02-12,1806.0
2024-02-13,2464.0
2024-02-14,1029.0
2024-02-15,2377.5
2024-02-16,1760.5
2024-02-17,1393.0
2024-02-18,976.0
2024-02-19,1084.0
2024-02-20,2678.0
2024-02-21,1560.0
2024-02-22,804.5
2024-02-23,1453.0
